Calculating reading plan...
book, book chapters, book words, book time, chapter, chapter words, chapter time
2Ki, 25, 23517, 79, 3, 848, 3
2Ki, 25, 23517, 79, 4, 1369, 5
2Ki, 25, 23517, 79, 5, 975, 4
2Ki, 25, 23517, 79, 6, 1019, 4
2Ki, 25, 23517, 79, 7, 824, 3
2Ki, 25, 23517, 79, 8, 953, 4
2Ki, 25, 23517, 79, 9, 1205, 5
2Ki, 25, 23517, 79, 10, 1203, 5
2Ki, 25, 23517, 79, 11, 738, 3
2Ki, 25, 23517, 79, 12, 688, 3
2Ki, 25, 23517, 79, 13, 775, 3
2Ki, 25, 23517, 79, 14, 881, 3
2Ki, 25, 23517, 79, 15, 1092, 4
2Ki, 25, 23517, 79, 16, 656, 3
2Ki, 25, 23517, 79, 17, 1245, 5
2Ki, 25, 23517, 79, 18, 1220, 5
2Ki, 25, 23517, 79, 19, 1147, 4
2Ki, 25, 23517, 79, 20, 660, 3
2Ki, 25, 23517, 79, 21, 747, 3
2Ki, 25, 23517, 79, 22, 712, 3
2Ki, 25, 23517, 79, 23, 1477, 5
2Ki, 25, 23517, 79, 24, 584, 2
2Ki, 25, 23517, 79, 25, 982, 4
1Ch, 29, 20365, 68, 1, 683, 3
1Ch, 29, 20365, 68, 2, 846, 3
1Ch, 29, 20365, 68, 3, 347, 2
1Ch, 29, 20365, 68, 4, 852, 3
1Ch, 29, 20365, 68, 5, 664, 3
1Ch, 29, 20365, 68, 6, 1341, 5
1Ch, 29, 20365, 68, 7, 831, 3
1Ch, 29, 20365, 68, 8, 491, 2
1Ch, 29, 20365, 68, 9, 960, 4
1Ch, 29, 20365, 68, 10, 364, 2
1Ch, 29, 20365, 68, 11, 944, 4
1Ch, 29, 20365, 68, 12, 987, 4
1Ch, 29, 20365, 68, 13, 386, 2
1Ch, 29, 20365, 68, 14, 357, 2
1Ch, 29, 20365, 68, 15, 714, 3
1Ch, 29, 20365, 68, 16, 850, 3
1Ch, 29, 20365, 68, 17, 779, 3
1Ch, 29, 20365, 68, 18, 399, 2
1Ch, 29, 20365, 68, 19, 630, 3
1Ch, 29, 20365, 68, 20, 289, 1
1Ch, 29, 20365, 68, 21, 914, 4
1Ch, 29, 20365, 68, 22, 605, 3
1Ch, 29, 20365, 68, 23, 681, 3
1Ch, 29, 20365, 68, 24, 541, 2
1Ch, 29, 20365, 68, 25, 543, 2
1Ch, 29, 20365, 68, 26, 710, 3
1Ch, 29, 20365, 68, 27, 805, 3
1Ch, 29, 20365, 68, 28, 864, 3
1Ch, 29, 20365, 68, 29, 988, 4
2Ch, 36, 26069, 87, 1, 530, 2
2Ch, 36, 26069, 87, 2, 645, 3
2Ch, 36, 26069, 87, 3, 481, 2
2Ch, 36, 26069, 87, 4, 595, 2
2Ch, 36, 26069, 87, 5, 497, 2
2Ch, 36, 26069, 87, 6, 1402, 5
2Ch, 36, 26069, 87, 7, 748, 3
2Ch, 36, 26069, 87, 8, 536, 2
2Ch, 36, 26069, 87, 9, 882, 3
2Ch, 36, 26069, 87, 10, 560, 2
2Ch, 36, 26069, 87, 11, 486, 2
2Ch, 36, 26069, 87, 12, 481, 2
2Ch, 36, 26069, 87, 13, 642, 3
2Ch, 36, 26069, 87, 14, 448, 2
2Ch, 36, 26069, 87, 15, 518, 2
2Ch, 36, 26069, 87, 16, 479, 2
2Ch, 36, 26069, 87, 17, 459, 2
2Ch, 36, 26069, 87, 18, 1050, 4
2Ch, 36, 26069, 87, 19, 352, 2
2Ch, 36, 26069, 87, 20, 1148, 4
2Ch, 36, 26069, 87, 21, 623, 3
2Ch, 36, 26069, 87, 22, 444, 2
2Ch, 36, 26069, 87, 23, 788, 3
2Ch, 36, 26069, 87, 24, 933, 4
